root	mode	first_line
package:cmd/compile/internal/ssa	interpreted	Bash++ gotest backend: non-Go inputs
package:cmd/compile/internal/ssa	compiled	Bash++ gotest backend: non-Go inputs
testdir:asmhdr.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/asmhdr.dir/main.s" is not a Go source file
testdir:asmhdr.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/asmhdr.dir/main.s" is not a Go source file
testdir:codegen/constants.go	interpreted	linux/amd64/v1
testdir:codegen/copy.go	interpreted	linux/amd64/v1
testdir:codegen/generics.go	interpreted	linux/amd64/v1
testdir:codegen/issue25378.go	interpreted	linux/amd64/v1
testdir:codegen/issue31618.go	interpreted	linux/amd64/v1
testdir:codegen/issue33580.go	interpreted	linux/amd64/v1
testdir:codegen/issue38554.go	interpreted	linux/amd64/v1
testdir:codegen/issue61356.go	interpreted	linux/amd64/v1
testdir:codegen/issue63332.go	interpreted	linux/amd64/v1
testdir:codegen/issue66585.go	interpreted	linux/amd64/v1
testdir:codegen/issue68845.go	interpreted	linux/amd64/v1
testdir:codegen/issue70409.go	interpreted	linux/amd64/v1
testdir:codegen/issue77375.go	interpreted	linux/amd64/v1
testdir:codegen/known_bits.go	interpreted	linux/amd64/v1
testdir:codegen/race.go	interpreted	linux/amd64/v1
testdir:codegen/select.go	interpreted	linux/amd64/v1
testdir:codegen/shortcircuit.go	interpreted	linux/amd64/v1
testdir:codegen/unique.go	interpreted	linux/amd64/v1
testdir:fixedbugs/bug514.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue15609.go	interpreted	Bash++ backend unsupported execute phase: module package issue15609.dir has non-Go inputs [call_amd64.s]
testdir:fixedbugs/issue15609.go	compiled	Bash++ backend unsupported execute phase: module package issue15609.dir has non-Go inputs [call_amd64.s]
testdir:fixedbugs/issue22877.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/fixedbugs/issue22877.dir/p.s" is not a Go source file
testdir:fixedbugs/issue22877.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/fixedbugs/issue22877.dir/p.s" is not a Go source file
testdir:fixedbugs/issue34968.go	interpreted	fixedbugs/issue34968.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue34968.go	compiled	fixedbugs/issue34968.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue36705.go	interpreted	fixedbugs/issue36705.go:13:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue36705.go	compiled	fixedbugs/issue36705.go:13:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue37513.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/fixedbugs/issue37513.dir/sigill_amd64.s" is not a Go source file
testdir:fixedbugs/issue37513.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/fixedbugs/issue37513.dir/sigill_amd64.s" is not a Go source file
testdir:fixedbugs/issue40954.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue42032.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue42076.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue46903.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue47185.go	interpreted	Bash++ backend unsupported execute phase: module package issue47185.dir/bad has non-Go inputs [bad.go]
testdir:fixedbugs/issue47185.go	compiled	Bash++ backend unsupported execute phase: module package issue47185.dir/bad has non-Go inputs [bad.go]
testdir:fixedbugs/issue47227.go	interpreted	fixedbugs/issue47227.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue47227.go	compiled	fixedbugs/issue47227.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue47317.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/fixedbugs/issue47317.dir/a.s" is not a Go source file
testdir:fixedbugs/issue47317.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/fixedbugs/issue47317.dir/a.s" is not a Go source file
testdir:fixedbugs/issue51733.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue71225.go	interpreted	test/fixedbugs/issue71225.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue71225.go	compiled	test/fixedbugs/issue71225.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue71226.go	interpreted	test/fixedbugs/issue71226.go:20:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue71226.go	compiled	test/fixedbugs/issue71226.go:20:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint151/barrier-a/evidence/goroot/bin/go (GOROOT=/srv/sprint151/barrier-a/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1
testdir:fixedbugs/issue74648.go	interpreted	Bash++ backend unsupported execute phase: module package issue74648.dir has non-Go inputs [a.s]
testdir:fixedbugs/issue74648.go	compiled	Bash++ backend unsupported execute phase: module package issue74648.dir has non-Go inputs [a.s]
testdir:linknameasm.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/linknameasm.dir/a_amd64.s" is not a Go source file
testdir:linknameasm.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/linknameasm.dir/a_amd64.s" is not a Go source file
testdir:retjmp.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/retjmp.dir/a.s" is not a Go source file
testdir:retjmp.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint151/barrier-a/evidence/goroot/test/retjmp.dir/a.s" is not a Go source file
